symbol,event_at,available_at,event_type,payload,source
AURX,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": 0.302}",sample-news
AURX,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": 0.186}",sample-news
AURX,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": 0.386}",sample-news
AURX,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": 0.013}",sample-news
AURX,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": -0.122}",sample-news
AURX,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": -0.004}",sample-news
AURX,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": 0.112}",sample-news
AURX,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": 0.096}",sample-news
AURX,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": -0.219}",sample-news
AURX,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": 0.074}",sample-news
AURX,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": 0.109}",sample-news
BELV,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": 1.0}",sample-news
BELV,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": 0.692}",sample-news
BELV,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": 0.833}",sample-news
BELV,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": 0.539}",sample-news
BELV,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": 0.758}",sample-news
BELV,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": 0.984}",sample-news
BELV,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": 1.0}",sample-news
BELV,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": 0.723}",sample-news
BELV,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": 0.742}",sample-news
BELV,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": 0.368}",sample-news
BELV,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": 0.865}",sample-news
CYNT,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": -0.301}",sample-news
CYNT,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": -0.388}",sample-news
CYNT,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": -0.192}",sample-news
CYNT,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": -0.608}",sample-news
CYNT,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": -0.535}",sample-news
CYNT,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": 0.364}",sample-news
CYNT,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": -0.491}",sample-news
CYNT,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": -0.443}",sample-news
CYNT,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": 0.291}",sample-news
CYNT,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": 0.558}",sample-news
CYNT,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": -0.462}",sample-news
DRAK,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": 0.125}",sample-news
DRAK,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": 0.472}",sample-news
DRAK,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": -0.207}",sample-news
DRAK,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": -0.022}",sample-news
DRAK,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": 0.234}",sample-news
DRAK,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": 0.148}",sample-news
DRAK,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": -0.055}",sample-news
DRAK,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": 0.006}",sample-news
DRAK,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": -0.304}",sample-news
DRAK,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": -0.02}",sample-news
DRAK,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": -0.027}",sample-news
ELMW,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": 0.081}",sample-news
ELMW,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": 0.338}",sample-news
ELMW,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": 0.473}",sample-news
ELMW,2023-04-01,2023-04-02,earnings_sentiment,"{""sentiment"": 0.259}",sample-news
ELMW,2023-07-01,2023-07-02,earnings_sentiment,"{""sentiment"": 0.308}",sample-news
ELMW,2023-10-01,2023-10-02,earnings_sentiment,"{""sentiment"": 0.233}",sample-news
ELMW,2024-01-01,2024-01-02,earnings_sentiment,"{""sentiment"": 0.22}",sample-news
ELMW,2024-04-01,2024-04-02,earnings_sentiment,"{""sentiment"": 0.039}",sample-news
ELMW,2024-07-01,2024-07-02,earnings_sentiment,"{""sentiment"": 0.299}",sample-news
ELMW,2024-10-01,2024-10-02,earnings_sentiment,"{""sentiment"": 0.195}",sample-news
ELMW,2025-01-01,2025-01-02,earnings_sentiment,"{""sentiment"": 0.743}",sample-news
FORR,2022-07-01,2022-07-02,earnings_sentiment,"{""sentiment"": 0.718}",sample-news
FORR,2022-10-01,2022-10-02,earnings_sentiment,"{""sentiment"": 0.431}",sample-news
FORR,2023-01-01,2023-01-02,earnings_sentiment,"{""sentiment"": 0.344}",sample-news
