symbol,feature,value,observed_at,available_at,revision,source
AURX,gross_margin,0.3379,2022-02-14,2022-05-05,0,sample-fundamentals
AURX,revenue_millions,2612.5,2022-02-14,2022-05-05,0,sample-fundamentals
AURX,gross_margin,0.339,2022-05-16,2022-08-04,0,sample-fundamentals
AURX,revenue_millions,2595.2,2022-05-16,2022-08-04,0,sample-fundamentals
AURX,gross_margin,0.3357,2022-08-16,2022-11-04,0,sample-fundamentals
AURX,revenue_millions,2651.2,2022-08-16,2022-11-04,0,sample-fundamentals
AURX,gross_margin,0.336,2022-11-16,2023-02-04,0,sample-fundamentals
AURX,revenue_millions,2620.8,2022-11-16,2023-02-04,0,sample-fundamentals
AURX,gross_margin,0.335,2023-02-14,2023-05-05,0,sample-fundamentals
AURX,revenue_millions,2641.1,2023-02-14,2023-05-05,0,sample-fundamentals
AURX,gross_margin,0.3388,2023-05-16,2023-08-04,0,sample-fundamentals
AURX,revenue_millions,2655.3,2023-05-16,2023-08-04,0,sample-fundamentals
AURX,gross_margin,0.343,2023-08-16,2023-11-04,0,sample-fundamentals
AURX,revenue_millions,2761.4,2023-08-16,2023-11-04,0,sample-fundamentals
AURX,gross_margin,0.3416,2023-11-16,2024-02-04,0,sample-fundamentals
AURX,revenue_millions,2725.1,2023-11-16,2024-02-04,0,sample-fundamentals
AURX,gross_margin,0.3374,2024-02-15,2024-05-05,0,sample-fundamentals
AURX,revenue_millions,2750.8,2024-02-15,2024-05-05,0,sample-fundamentals
AURX,gross_margin,0.3464,2024-05-16,2024-08-04,0,sample-fundamentals
AURX,revenue_millions,2736.6,2024-05-16,2024-08-04,0,sample-fundamentals
AURX,gross_margin,0.342,2024-08-16,2024-11-04,0,sample-fundamentals
AURX,revenue_millions,2683.5,2024-08-16,2024-11-04,0,sample-fundamentals
AURX,gross_margin,0.3478,2024-11-16,2025-02-04,0,sample-fundamentals
AURX,revenue_millions,2715.7,2024-11-16,2025-02-04,0,sample-fundamentals
BELV,gross_margin,0.2248,2022-02-14,2022-05-05,0,sample-fundamentals
BELV,revenue_millions,3575.9,2022-02-14,2022-05-05,0,sample-fundamentals
BELV,gross_margin,0.2227,2022-05-16,2022-08-04,0,sample-fundamentals
BELV,revenue_millions,3668.6,2022-05-16,2022-08-04,0,sample-fundamentals
BELV,gross_margin,0.2241,2022-08-16,2022-11-04,0,sample-fundamentals
BELV,revenue_millions,3762.7,2022-08-16,2022-11-04,0,sample-fundamentals
BELV,gross_margin,0.2289,2022-11-16,2023-02-04,0,sample-fundamentals
BELV,revenue_millions,3859.6,2022-11-16,2023-02-04,0,sample-fundamentals
BELV,gross_margin,0.2329,2023-02-14,2023-05-05,0,sample-fundamentals
BELV,revenue_millions,3947.0,2023-02-14,2023-05-05,0,sample-fundamentals
BELV,gross_margin,0.2352,2023-05-16,2023-08-04,0,sample-fundamentals
BELV,revenue_millions,4080.8,2023-05-16,2023-08-04,0,sample-fundamentals
BELV,gross_margin,0.2293,2023-08-16,2023-11-04,0,sample-fundamentals
BELV,revenue_millions,4141.5,2023-08-16,2023-11-04,0,sample-fundamentals
BELV,gross_margin,0.228,2023-11-16,2024-02-04,0,sample-fundamentals
BELV,revenue_millions,4176.7,2023-11-16,2024-02-04,0,sample-fundamentals
BELV,gross_margin,0.2277,2024-02-15,2024-05-05,0,sample-fundamentals
BELV,revenue_millions,4390.5,2024-02-15,2024-05-05,0,sample-fundamentals
BELV,gross_margin,0.2247,2024-05-16,2024-08-04,0,sample-fundamentals
BELV,revenue_millions,4569.0,2024-05-16,2024-08-04,0,sample-fundamentals
BELV,gross_margin,0.218,2024-08-16,2024-11-04,0,sample-fundamentals
BELV,revenue_millions,4635.6,2024-08-16,2024-11-04,0,sample-fundamentals
BELV,gross_margin,0.2196,2024-11-16,2025-02-04,0,sample-fundamentals
BELV,revenue_millions,4788.6,2024-11-16,2025-02-04,0,sample-fundamentals
CYNT,gross_margin,0.3793,2022-02-14,2022-05-05,0,sample-fundamentals
CYNT,revenue_millions,2611.0,2022-02-14,2022-05-05,0,sample-fundamentals
CYNT,gross_margin,0.3773,2022-05-16,2022-08-04,0,sample-fundamentals
CYNT,revenue_millions,2695.8,2022-05-16,2022-08-04,0,sample-fundamentals
CYNT,gross_margin,0.3774,2022-08-16,2022-11-04,0,sample-fundamentals
CYNT,revenue_millions,2668.3,2022-08-16,2022-11-04,0,sample-fundamentals
CYNT,gross_margin,0.3703,2022-11-16,2023-02-04,0,sample-fundamentals
CYNT,revenue_millions,2660.1,2022-11-16,2023-02-04,0,sample-fundamentals
CYNT,gross_margin,0.3755,2023-02-14,2023-05-05,0,sample-fundamentals
CYNT,revenue_millions,2708.4,2023-02-14,2023-05-05,0,sample-fundamentals
CYNT,gross_margin,0.3822,2023-05-16,2023-08-04,0,sample-fundamentals
CYNT,revenue_millions,2726.7,2023-05-16,2023-08-04,0,sample-fundamentals
CYNT,gross_margin,0.3849,2023-08-16,2023-11-04,0,sample-fundamentals
CYNT,revenue_millions,2802.6,2023-08-16,2023-11-04,0,sample-fundamentals
CYNT,gross_margin,0.3841,2023-11-16,2024-02-04,0,sample-fundamentals
CYNT,revenue_millions,2871.1,2023-11-16,2024-02-04,0,sample-fundamentals
CYNT,gross_margin,0.3805,2024-02-15,2024-05-05,0,sample-fundamentals
CYNT,revenue_millions,2894.2,2024-02-15,2024-05-05,0,sample-fundamentals
CYNT,gross_margin,0.3792,2024-05-16,2024-08-04,0,sample-fundamentals
CYNT,revenue_millions,2869.3,2024-05-16,2024-08-04,0,sample-fundamentals
CYNT,gross_margin,0.3844,2024-08-16,2024-11-04,0,sample-fundamentals
CYNT,revenue_millions,2886.3,2024-08-16,2024-11-04,0,sample-fundamentals
CYNT,gross_margin,0.386,2024-11-16,2025-02-04,0,sample-fundamentals
CYNT,revenue_millions,2958.2,2024-11-16,2025-02-04,0,sample-fundamentals
DRAK,gross_margin,0.3226,2022-02-14,2022-05-05,0,sample-fundamentals
DRAK,revenue_millions,3194.9,2022-02-14,2022-05-05,0,sample-fundamentals
DRAK,gross_margin,0.3212,2022-05-16,2022-08-04,0,sample-fundamentals
DRAK,revenue_millions,3371.9,2022-05-16,2022-08-04,0,sample-fundamentals
DRAK,gross_margin,0.3116,2022-08-16,2022-11-04,0,sample-fundamentals
DRAK,revenue_millions,3466.6,2022-08-16,2022-11-04,0,sample-fundamentals
DRAK,gross_margin,0.3046,2022-11-16,2023-02-04,0,sample-fundamentals
DRAK,revenue_millions,3595.0,2022-11-16,2023-02-04,0,sample-fundamentals
DRAK,gross_margin,0.3083,2023-02-14,2023-05-05,0,sample-fundamentals
DRAK,revenue_millions,3734.9,2023-02-14,2023-05-05,0,sample-fundamentals
DRAK,gross_margin,0.3072,2023-05-16,2023-08-04,0,sample-fundamentals
DRAK,revenue_millions,4044.8,2023-05-16,2023-08-04,0,sample-fundamentals
DRAK,gross_margin,0.3062,2023-08-16,2023-11-04,0,sample-fundamentals
DRAK,revenue_millions,4335.1,2023-08-16,2023-11-04,0,sample-fundamentals
DRAK,gross_margin,0.3017,2023-11-16,2024-02-04,0,sample-fundamentals
DRAK,revenue_millions,4564.4,2023-11-16,2024-02-04,0,sample-fundamentals
DRAK,gross_margin,0.2972,2024-02-15,2024-05-05,0,sample-fundamentals
DRAK,revenue_millions,4793.7,2024-02-15,2024-05-05,0,sample-fundamentals
DRAK,gross_margin,0.3034,2024-05-16,2024-08-04,0,sample-fundamentals
DRAK,revenue_millions,4901.3,2024-05-16,2024-08-04,0,sample-fundamentals
DRAK,gross_margin,0.3072,2024-08-16,2024-11-04,0,sample-fundamentals
DRAK,revenue_millions,5204.1,2024-08-16,2024-11-04,0,sample-fundamentals
DRAK,gross_margin,0.3048,2024-11-16,2025-02-04,0,sample-fundamentals
DRAK,revenue_millions,5350.2,2024-11-16,2025-02-04,0,sample-fundamentals
ELMW,gross_margin,0.1113,2022-02-14,2022-05-05,0,sample-fundamentals
ELMW,revenue_millions,3357.8,2022-02-14,2022-05-05,0,sample-fundamentals
ELMW,gross_margin,0.1118,2022-05-16,2022-08-04,0,sample-fundamentals
ELMW,revenue_millions,3585.5,2022-05-16,2022-08-04,0,sample-fundamentals
ELMW,gross_margin,0.1117,2022-08-16,2022-11-04,0,sample-fundamentals
ELMW,revenue_millions,3640.5,2022-08-16,2022-11-04,0,sample-fundamentals
ELMW,gross_margin,0.1125,2022-11-16,2023-02-04,0,sample-fundamentals
ELMW,revenue_millions,3786.8,2022-11-16,2023-02-04,0,sample-fundamentals
ELMW,gross_margin,0.116,2023-02-14,2023-05-05,0,sample-fundamentals
ELMW,revenue_millions,3985.5,2023-02-14,2023-05-05,0,sample-fundamentals
ELMW,gross_margin,0.1173,2023-05-16,2023-08-04,0,sample-fundamentals
ELMW,revenue_millions,4244.8,2023-05-16,2023-08-04,0,sample-fundamentals
ELMW,gross_margin,0.115,2023-08-16,2023-11-04,0,sample-fundamentals
ELMW,revenue_millions,4342.4,2023-08-16,2023-11-04,0,sample-fundamentals
ELMW,gross_margin,0.1133,2023-11-16,2024-02-04,0,sample-fundamentals
ELMW,revenue_millions,4464.0,2023-11-16,2024-02-04,0,sample-fundamentals
ELMW,gross_margin,0.1107,2024-02-15,2024-05-05,0,sample-fundamentals
ELMW,revenue_millions,4680.5,2024-02-15,2024-05-05,0,sample-fundamentals
ELMW,gross_margin,0.1106,2024-05-16,2024-08-04,0,sample-fundamentals
ELMW,revenue_millions,4710.3,2024-05-16,2024-08-04,0,sample-fundamentals
ELMW,gross_margin,0.1088,2024-08-16,2024-11-04,0,sample-fundamentals
ELMW,revenue_millions,4908.4,2024-08-16,2024-11-04,0,sample-fundamentals
ELMW,gross_margin,0.1111,2024-11-16,2025-02-04,0,sample-fundamentals
ELMW,revenue_millions,5280.1,2024-11-16,2025-02-04,0,sample-fundamentals
FORR,gross_margin,0.4168,2022-02-14,2022-05-05,0,sample-fundamentals
FORR,revenue_millions,2440.0,2022-02-14,2022-05-05,0,sample-fundamentals
FORR,gross_margin,0.4007,2022-05-16,2022-08-04,0,sample-fundamentals
FORR,revenue_millions,2573.1,2022-05-16,2022-08-04,0,sample-fundamentals
FORR,gross_margin,0.3958,2022-08-16,2022-11-04,0,sample-fundamentals
FORR,revenue_millions,2678.4,2022-08-16,2022-11-04,0,sample-fundamentals
FORR,gross_margin,0.3925,2022-11-16,2023-02-04,0,sample-fundamentals
FORR,revenue_millions,2802.6,2022-11-16,2023-02-04,0,sample-fundamentals
FORR,gross_margin,0.4024,2023-02-14,2023-05-05,0,sample-fundamentals
FORR,revenue_millions,2949.3,2023-02-14,2023-05-05,0,sample-fundamentals
FORR,gross_margin,0.4028,2023-05-16,2023-08-04,0,sample-fundamentals
FORR,revenue_millions,3033.4,2023-05-16,2023-08-04,0,sample-fundamentals
FORR,gross_margin,0.3909,2023-08-16,2023-11-04,0,sample-fundamentals
FORR,revenue_millions,3153.1,2023-08-16,2023-11-04,0,sample-fundamentals
FORR,gross_margin,0.392,2023-11-16,2024-02-04,0,sample-fundamentals
FORR,revenue_millions,3419.8,2023-11-16,2024-02-04,0,sample-fundamentals
FORR,gross_margin,0.3946,2024-02-15,2024-05-05,0,sample-fundamentals
FORR,revenue_millions,3655.3,2024-02-15,2024-05-05,0,sample-fundamentals
FORR,gross_margin,0.3923,2024-05-16,2024-08-04,0,sample-fundamentals
FORR,revenue_millions,3748.5,2024-05-16,2024-08-04,0,sample-fundamentals
